"","Organization.Name","Address","City","State","Postcode","Main.Phone..","Discipline","Council.District","Community.Board","Borough","Latitude","Longitude","Census.Tract","BIN","BBL","NTA"
"14","Actors Company Theatre","900 Broadway, Ste. 905","New York","NY","10003","(212) 645-8228","Theater","Manhattan Council District #2","Manhattan Community Board #5","Manhattan",40.739073,-73.989784,52,1016184,1008480061,"Hudson Yards-Chelsea-Flatiron-Union Square"
"15","Actors Theatre Workshop, Inc.","145 W. 28th St., 3rd Floor","New York","NY","10001","(212) 947-1386","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.746602,-73.991829,95,1015100,1008040011,"Midtown-Midtown South"
"16","Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A","New York","NY","10002","(212) 253-2280","Music","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.718943,-73.986122,1402,1004301,1003530054,"Lower East Side"
"17","After School Rocks, Inc.","187-08 Union Turnpike","Fresh Meadows","NY","11366","(718) 454-0100","Music","Queens Council District #26","Queens Community Board #9","Queens",40.728972,-73.781866,1277,4156126,4072560114,"Jamaica Estates-Holliswood"
"18","Aks Chorale, Inc.","429 East 52nd Street","New York","NY","10022","(212) 755-4061","Music","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",40.754801,-73.964447,8603,1040156,1013640034,"Turtle Bay-East Midtown"
"19","Alchemy Theatre Company of Manhattan","412 West 42nd Street","New York","NY","10036","(212) 967-0901","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.758682,-73.993254,115,1026330,1010510029,"Clinton"
"20","All For One Theater Festival, Inc.","1650 Broadway","New York","NY","10019","(212) 398-7180","Theater","Manhattan Council District #4","Manhattan Community Board #5","Manhattan",40.761964,-73.983684,131,1024811,1010220035,"Midtown-Midtown South"
"21","Alliance for Inclusion in the Arts","1560 Broadway, Suite 1600","New York","NY","10036","(212) 730-4750","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.75886,-73.984843,125,1022661,1009990003,"Midtown-Midtown South"
"22","Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave., Suite 315","New York","NY","10018","(212) 447-6309","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.753612,-73.992417,109,1083624,1007860001,"Midtown-Midtown South"
"23","Alliance of Queens Artists, Inc.","99-10 Metropolitan Avenue","Forest Hills","NY","11375","(718) 520-9842","Visual Arts","Queens Council District #29","","Queens",40.71086,-73.853439,645,4095202,4038940035,"Forest Hills"
"24","Alliance of Resident Theatres / New York, Inc.","520 Eighth Avenue, Suite 319","New York","NY","10018","(212) 244-6667 x228","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.753612,-73.992417,109,1083624,1007860001,"Midtown-Midtown South"
"25","Amas Musical Theatre, Inc.","257 West 52nd Street, 5th Floor","New York","NY","10019","(212) 563-2565","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.763125,-73.984182,131,1024826,1010240007,"Midtown-Midtown South"
"26","American Academy of Dramatic Arts","120 Madison Ave","New York","NY","7307","(212) 686-9244 x317","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.745402,-73.984691,74,1016957,1008600016,"Midtown-Midtown South"
"27","American Center for Musical Arts, Inc.","201 West 72nd Street, Ste. 3-K","New York","NY","10023","(718) 680-1680","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.778954,-73.982412,159,1077846,1011647501,"Lincoln Square"
"28","American Composers Orchestra","244 West 54th Street","New York","NY","10019","(212) 977-8495 x203","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.764261,-73.983037,131,1024842,1010250054,"Midtown-Midtown South"
"29","American Folk Art Museum","47-29 32nd Place","Queens","NY","11101","(212) 265-1040 x114","Museum","Manhattan Council District #6","Manhattan Community Board #5","Queens",40.74212,-73.93313,199,4003447,4002520018,"Hunters Point-Sunnyside-West Maspeth"
"30","American Globe Theatre, Ltd.","145 West 46th Street, 3rd Floor","New York","NY","10036","(212) 869-9809","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.757946,-73.983547,125,1022665,1009990012,"Midtown-Midtown South"
"31","American Lyric Theater Center, Inc.","410 West 42nd Street","New York","NY","10036","(646) 216-8298","Music","Manhattan Council District #4","Manhattan Community Board #3","Manhattan",40.758652,-73.993185,115,1026330,1010510029,"Clinton"
"32","American Modern Ensemble, Inc.","400 West 43rd Street, Ste. 39-S","New York","NY","10036","(212) 349-7009","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.759173,-73.992326,121,1083745,1010520001,"Clinton"
"33","American Music Center, Inc.","322 8th Avenue","New York","NY","10001","(212) 366-5260 x13","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.747294,-73.997023,95,1014225,1007760001,"Midtown-Midtown South"
"34","American Opera Projects, Inc.","138 South Oxford Street #3B","Brooklyn","NY","11217","(718) 398-4024","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",40.685073,-73.973221,179,3000000,3020040048,"Fort Greene"
"35","American Performing Arts Collaborative, Inc.","6 Hancock Place","New York City","NY","10027","(212) 665-7716","Theater","Manhattan Council District #9","Manhattan Community Board #9","Manhattan",40.81029,-73.953685,20901,1059277,1019500056,"Morningside Heights"
"36","American Place Theatre, Inc.","266 West 37th Street, 22nd Floor","New York","NY","10018","(212) 594-4482 x11","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.753632,-73.991009,109,1083624,1007860001,"Midtown-Midtown South"
"37","American Symphony Orchestra League","33 West 60th Street, 5th Floor","New York","NY","10023","(646) 822-4039","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.769303,-73.983003,145,1084277,1011130008,"Lincoln Square"
"38","American Symphony Orchestra, Inc.","263 West 38th Street","New York","NY","10018","(212) 868-9276 x16","Music","Manhattan Council District #4","Manhattan Community Board #4","Manhattan",40.75423,-73.990468,113,1014474,1007880011,"Midtown-Midtown South"
"39","American Theatre Wing","230 West 41st Street, Suite 1101","New York","NY","10036","(212) 765-0606 x302","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.755802,-73.988482,113,1080830,1010120015,"Midtown-Midtown South"
"40","Amigos del Museo del Barrio","1230 Fifth Avenue","New York","NY","10029","(212) 831-7272","Visual Arts","Manhattan Council District #8","Manhattan Community Board #11","Manhattan",40.793072,-73.951992,168,1051499,1016100001,"East Harlem South"
"41","An Claidheamh Soluis, Inc.","553 West 51st Street","New York","NY","10019","(212) 757-3318 x205","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.766041,-73.993054,135,1082282,1010800103,"Clinton"
"42","Ansonia Music Outreach Organization, Inc.","330 Wadsworth Avenue 2G","New York","NY","10040","(212) 567-3554","Music","Manhattan Council District #7","Manhattan Community Board #12","Manhattan",40.855188,-73.931061,279,1064084,1021700287,"Washington Heights North"
"43","Anthropologists, Inc.","100 Cabrini Blvd. #24","New York","NY","10033","(917) 557-3517","Theater","Manhattan Council District #7","Manhattan Community Board #12","Manhattan",40.851647,-73.94009,275,1064334,1021790070,"Washington Heights North"
"44","Anthropology Museum of the People of New York","64-19 Kissena Boulevard","Flushing","NY","11367","(718) 428-5650","Museum","Queens Council District #24","Queens Community Board #8","Queens",40.737701,-73.81479,122702,4146646,4067430029,"Pomonok-Flushing Heights-Hillcrest"
"45","Anti-Social Music, Inc.","71 Ocean Parkway 3H","Brooklyn","NY","11218","(646) 489-8791","Music","Brooklyn Council District #33","Brooklyn Community Board #8","Brooklyn",40.649369,-73.974922,504,3124031,3053200001,"Windsor Terrace"
"46","ApexArt Curatorial Program","291 Church Street","New York","NY","10013","(212) 431-5270","Visual Arts","Manhattan Council District #1","Manhattan Community Board #10","Manhattan",40.719084,-74.004654,33,1002206,1001930019,"SoHo-TriBeCa-Civic Center-Little Italy"
"47","Aquila Theatre Company, Inc.","100 Washington Square East","New York","NY","10003","(212) 992-9642","Theater","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.73054,-73.995706,59,1008820,1005470001,"West Village"
"48","Arcos Orchestra, Ltd.","17 E 96th St 14B","New York","NY","10128","(772) 766-2851","Music","Manhattan Council District #4","Manhattan Community Board #8","Manhattan",40.78765,-73.955138,16002,1051441,1016020013,"East Harlem South"
"49","Around the Block, Inc.","5 East 22nd Street, Suite 9K","New York","NY","10010","(212) 673-9187","Theater","Manhattan Council District #2","Manhattan Community Board #5","Manhattan",40.740426,-73.988976,56,1016304,1008517501,"Hudson Yards-Chelsea-Flatiron-Union Square"
"50","Art Connects New York","4 West 43rd Street, #507","New York","NY","10036","(646) 546-5334","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.754371,-73.980932,96,1034201,1012580042,"Midtown-Midtown South"
"51","Art Lab, Inc.","1000 Richmond Terrace","Staten Island","NY","10301","(718) 447-8667","Visual Arts","Staten Island Council Dist #49","Staten Island Community Brd #1","Staten Island",40.645232,-74.104674,97,5000000,5000760200,"West New Brighton-New Brighton-St. George"
"52","Art Students League of New York","215 West 57th Street","New York","NY","10019","(212) 247-4510 x108","Visual Arts","Manhattan Council District #7","Manhattan Community Board #5","Manhattan",40.765864,-73.980824,137,1080846,1010290023,"Midtown-Midtown South"
"53","Art in General, Inc.","20 Jay Street","New York","NY","11201","(212) 219-0473 x36","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Brooklyn",40.704313,-73.986587,21,3000010,3000190001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"54","Art of the Early Keyboard, Inc.","170 West 73rd Street, Apt. 3C","New York","NY","10023","(212) 967-9157","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.778865,-73.980145,157,1029960,1011440061,"Lincoln Square"
"55","Art21, Inc.","231 West 29th Street, #706","New York","NY","10001","(212) 741-7133","Visual Arts","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.748299,-73.993937,95,1014283,1007790017,"Midtown-Midtown South"
"56","ArtCouncil, Inc.","210 Eleventh Avenue, Ste. 503","New York","NY","10001","(212) 727-2233 x207","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.74986,-74.006291,99,1012378,1006960065,"Hudson Yards-Chelsea-Flatiron-Union Square"
"57","ArtCrawl Harlem, Inc.","363 Malcolm X Blvd","New York","NY","10027","(212) 866-7427","Visual Arts","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",40.809844,-73.943986,224,1057946,1019130030,"Central Harlem North-Polo Grounds"
"58","Artist Exchange International on Broadway","107 Suffolk Street, #35","New York","NY","10002","(212) 226-5169","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.718943,-73.986122,1402,1004301,1003530054,"Lower East Side"
"59","Artist's Theatre Repertory Ensemble, Inc.","6776 Booth St","Forest Hills","NY","11375","(718) 683-2225","Theater","Queens Council District #29","Queens Community Board #6","Queens",40.724783,-73.851965,71305,4075055,4031670028,"Forest Hills"
"60","Artists Alliance, Inc.","107 Suffolk Street, Room 411","New York","NY","10002","(212) 420-9202","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.718943,-73.986122,1402,1004301,1003530054,"Lower East Side"
"61","Artists Space","55 Walker Street","New York","NY","10013","(212) 226-3970 x307","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.718952,-74.003268,33,1075735,1001937503,"SoHo-TriBeCa-Civic Center-Little Italy"
"62","Artists in Residence, Inc.","155 Plymouth Street","Brooklyn","NY","11201","(212) 255-6651","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn",40.703784,-73.987077,21,3000010,3000190001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"63","Artopolis Development","431 45th Street","Brooklyn","NY","11220","(718) 412-8515","Visual Arts","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn",40.648754,-74.008793,80,3011229,3007380064,"Sunset Park West"
"64","Arts Horizons LeRoy Neiman Art Center","2785 Frederick Douglass Blvd.","New York","NY","10039","(212) 862-2787","Visual Arts","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",40.824667,-73.940595,259,1087475,1020450054,"Central Harlem North-Polo Grounds"
"65","Ascension Music Chorus and Orchestra, Inc.","12 West 11th Street","New York","NY","10011","(212) 358-1469","Music","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",40.734328,-73.995775,63,1009538,1005740038,"West Village"
"66","Asia Art Archive in America, Inc.","43 Remsen Street (Garden Floor)","Brooklyn","NY","11201","(718) 522-2299","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn",40.694746,-73.996812,301,3002021,3002470008,"Brooklyn Heights-Cobble Hill"
"67","Asia Society","725 Park Avenue","New York","NY","10021","(212) 327-9218","Museum","Manhattan Council District #4","Manhattan Community Board #4","Manhattan",40.770032,-73.964594,128,1042714,1014050001,"Upper East Side-Carnegie Hill"
"68","Asian American Arts Centre, Inc.","26 Bowery, 3rd Floor","New York","NY","10013","(212) 233-2154","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",40.714906,-73.996909,29,1001802,1001630035,"Chinatown"
"69","Asian American Women Artists Alliance, Inc.","136 15th Street","Brooklyn","NY","11215","(718) 788-6170","Visual Arts","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn",40.667018,-73.99234,117,3023861,3010460036,"Park Slope-Gowanus"
"70","Association for Development of Dramatic Arts, Inc.","301 East 57th St., 3rd Fl.","New York","NY","10022","(212) 583-2706 x15","Theater","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.759264,-73.96517,108,1039997,1013500001,"Turtle Bay-East Midtown"
"71","Astoria Big Band","161 Sixth Avenue, 14th floor","New York","NY","10013","(212) 691-6969 x13","Music","","Manhattan Community Board #1","Manhattan",40.725677,-74.003976,37,1007822,1005050031,"SoHo-TriBeCa-Civic Center-Little Italy"
"72","Astoria Music Society, Inc.","22-70 23rd Street","Astoria","NY","11105","(718) 721-8311","Music","Queens Council District #22","Queens Community Board #1","Queens",40.778324,-73.917575,101,4019527,4008780066,"Steinway"
"73","Athena Theatre","1224 St. Nicholas Avenue","New York","NY","10032","(818) 642-6294","Theater","Manhattan Council District #4","Manhattan Community Board #8","Manhattan",40.843094,-73.938269,253,1063062,1021280003,"Washington Heights South"
"74","Atlantic Theater Company","76 Ninth Avenue, Ste. 537","New York","NY","10011","(212) 691-5919","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.741915,-74.004659,83,1013043,1007390001,"Hudson Yards-Chelsea-Flatiron-Union Square"
"75","Australian Aboriginal Theatre Initiative","60 2nd Avenue","New York","NY","10003","(212) 533-0889","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",40.725827,-73.989678,38,1006165,1004450004,"East Village"
"76","BCT Brooklyn Children's Theatre, Inc.","135 Prospect Park SW #B7","New York","NY","11218","(646) 675-0325","Theater","Brooklyn Council District #39","Brooklyn Community Board #7","Brooklyn",40.656017,-73.973683,171,3121890,3052570045,"Windsor Terrace"
"77","Ballet Orchestra of New York City","438 East 76th Street #4-C","New York","NY","10021","(212) 988-2148","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",40.769984,-73.953168,132,1045938,1014700030,"Lenox Hill-Roosevelt Island"
"78","Bang on a Can, Inc.","80 Hanson Place, Ste. 701","Brooklyn","NY","11217","(718) 852-7755","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",40.685488,-73.974421,35,3057479,3020030034,"Fort Greene"
"79","Bardekova Ensemble","2965 Marion Avenue 3G","New York","NY","10458","(718) 933-6221","Music","Bronx Council District #11","Bronx Community Board #7","Bronx",40.869159,-73.883993,415,2016732,2032920001,"Bedford Park-Fordham North"
"80","Bargemusic, Ltd.","Fulton Ferry Landing","Brooklyn","NY","11201","(718) 624-4061","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn",40.703178,-73.994879,21,NA,NA,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"81","Barrow Group, Inc.","312 West 36th Street, Apt. 4W","New York","NY","10018","(201) 709-5720","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.753755,-73.9932,111,1080495,1007590049,"Hudson Yards-Chelsea-Flatiron-Union Square"
"82","Bartow-Pell Landmark Fund","895 Shore Road","Bronx","NY","10464","(718) 885-1461","Museum","Bronx Council District #13","Bronx Community Board #10","Bronx",40.875733,-73.80166,504,2097423,2056500001,"park-cemetery-etc-Bronx"
"83","Bayside Glee Club, Inc.","51-17 Reeder Street","Elmhurst","NY","11373","(718) 424-5769","Music","Queens Council District #19","Queens Community Board #4","Queens",40.738106,-73.878263,473,4038776,4015490055,"Elmhurst"
"84","Bedlam, Inc.","2753 Broadway,","New York","NY","10025","(646) 784-1029","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.801216,-73.967901,191,1056629,1018770061,"Upper West Side"
"85","Bella Voce, Inc.","659 85th Street","Brooklyn","NY","11228","(917) 501-0338","Music","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn",40.619946,-74.021991,140,3152918,3060280069,"Dyker Heights"
"86","Beth Morrison Projects","666 Ocean Avenue #D1","Brooklyn","NY","11226","(646) 682-7181","Music","Manhattan Council District #4","Manhattan Community Board #8","Brooklyn",40.646568,-73.960354,51001,3117610,3051230016,"Flatbush"
"87","Big Apple Circus, Ltd.","One MetroTech Center-North","New York","NY","11201","(212) 268-2500 x148","Theater","Manhattan Council District #3","Manhattan Community Board #5","Brooklyn",40.694059,-73.985741,11,3000000,3001420100,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"88","Big Apple Performing Arts, Inc.","676A 9th Avenue, Suite 405","New York","NY","10036","(212) 344-1777 x11","Music","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.761457,-73.990412,127,1025074,1010370062,"Clinton"
"89","Black Spectrum Theatre Company, Inc.","119-07 Merrick Boulevard, 2nd Floor","Jamaica","NY","11434","(718) 723-1800","Theater","Queens Council District #27","Queens Community Board #12","Queens",40.685612,-73.772853,426,4268835,4124060180,"St. Albans"
"90","Blessed Unrest Theatre, Inc.","530 W. 45th Street, #4G","New York","NY","10036","(212) 713-0163","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.762132,-73.995473,129,1088825,1010737502,"Clinton"
"91","Bloomingdale School of Music, Inc.","323 West 108th Street","New York","NY","10025","(212) 663-6021 x23","Music","Manhattan Council District #9","Manhattan Community Board #7","Manhattan",40.80314,-73.968073,195,1057302,1018930010,"Morningside Heights"
"92","Blue Coyote Theater Group, Inc.","380 Broadway, 4th Floor","New York","NY","10013","(646) 242-6260","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.718112,-74.002958,31,1002317,1001950001,"SoHo-TriBeCa-Civic Center-Little Italy"
"93","Blue Heron Theatre, Inc.","645 West End Avenue, Suite 7B","New York","NY","10025","(212) 787-0422","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.792388,-73.975316,179,1034102,1012510062,"Upper West Side"
"94","Blue Pipa, Inc.","68-39 Harrow Street","Forest Hills","NY","11375","(718) 459-1730","Music","Queens Council District #29","Queens Community Board #6","Queens",40.717143,-73.853122,709,4076410,4032000048,"Forest Hills"
"95","Booklyn, Inc.","37 Greenpoint Avenue","New York","NY","11222","(718) 383-9621","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",40.729756,-73.958998,565,3064672,3025570001,"Greenpoint"
"96","Boricua Festival Committee, Inc.","313 97th Street, #1B","Brooklyn","NY","11209","(718) 492-7129","Music","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn",40.615625,-74.033804,5601,3155738,3061220001,"Bay Ridge"
"97","Brave New World Repertory Theatre, Inc.","303 Westminster Road","Brooklyn","NY","11218","(917) 660-4660","Theater","Brooklyn Council District #40","Brooklyn Community Board #14","Brooklyn",40.641295,-73.967271,1522,3118328,3051430102,"Flatbush"
"98","Brazilian Endowment for the Arts, Inc.","240E 52nd street","New York","NY","10022","(212) 371-1556","Music","Manhattan Council District #5","Manhattan Community Board #5","Manhattan",40.756658,-73.968879,98,1038479,1013250035,"Turtle Bay-East Midtown"
"99","Breakthru Education, Inc.","235 Lincoln Place","New York","NY","11217","(718) 614-2289","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",40.675041,-73.9728,159,3024463,3010590050,"Park Slope-Gowanus"
"100","Bridge, Inc.","290 Lenox Avenue, 3rd Floor","New York","NY","10027","(212) 663-3000","Visual Arts","Manhattan Council District #8","Manhattan Community Board #7","Manhattan",40.807457,-73.945704,200,1053487,1017220069,"Central Harlem South"
"101","Broadway Housing Communities, Inc.","583 Riverside Drive","New York","NY","10031","(212) 568-2030","Visual Arts","Manhattan Council District #7","Manhattan Community Board #9","Manhattan",40.821356,-73.957193,22301,1059949,1020020002,"Manhattanville"
"102","Broadway League Foundation, Inc.","729 Seventh Avenue, 5th Flr","New York","NY","10019","(212) 764-1122","Theater","Manhattan Council District #4","Manhattan Community Board #5","Manhattan",40.760103,-73.983973,125,1022699,1010017501,"Midtown-Midtown South"
"103","Broken Box Mime Theater","201 W 94th St. #1A","New York","NY","10025","(617) 877-8937","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",40.792842,-73.971505,183,1033677,1012420029,"Upper West Side"
"104","Bronx Community College Association, Inc.","2155 University Avenue","Bronx","NY","10453","(718) 289-5127","Music","Bronx Council District #14","Bronx Community Board #5","Bronx",40.857899,-73.909307,255,2014731,2032170060,"Kingsbridge Heights"
"105","Bronx Museum of the Arts","1040 Grand Concourse","Bronx","NY","10456","(718) 681-6000","Visual Arts","Bronx Council District #16","Bronx Community Board #4","Bronx",40.831063,-73.920361,18102,2002826,2024620001,"East Concourse-Concourse Village"
"106","Bronx Opera Company","5 Minerva Place (2J)","Bronx","NY","10468","(718) 365-4209","Music","","Bronx Community Board #7","Bronx",40.871469,-73.891036,40701,2017596,2033190064,"Van Cortlandt Village"
"107","BronxArtSpace, Inc.","305 East 140th St. , 1A","New York City,Bronx","NY","10454","(718) 401-8144","Visual Arts","Bronx Council District #17","Bronx Community Board #1","Bronx",40.811694,-73.924961,39,2000747,2023157501,"Mott Haven-Port Morris"
"108","Brooklyn Art Song Society","60 East 8th Street, Apt. 30 E","New York","NY","10003","(917) 509-6258","Music","Manhattan Council District #1","Manhattan Community Board #2","Brooklyn",40.648658,-73.972803,504,NA,NA,"Windsor Terrace"
"109","Brooklyn Chamber Music Society","49 Cheever Place","Brooklyn","NY","11231","(718) 858-3523","Music","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",40.685713,-73.999524,49,3003770,3003220006,"Carroll Gardens-Columbia Street-Red Hook"
"110","Brooklyn Children's Museum","145 Brooklyn Avenue","Brooklyn","NY","11213","(718) 735-4400","Museum","Brooklyn Council District #36","Brooklyn Community Board #8","Brooklyn",40.674773,-73.944464,341,3031049,3012290001,"Crown Heights North"
"111","Brooklyn Conservatory of Music","58 Seventh Avenue","Brooklyn","NY","11217","(718) 622-3300 x13","Music","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",40.675843,-73.974533,159,3019495,3009480048,"Park Slope-Gowanus"
"112","Brooklyn Historical Society","128 Pierrepont Street","Brooklyn","NY","11201","(718) 222-4111 x239","Museum","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",40.69502,-73.992387,502,3002006,3002430047,"Brooklyn Heights-Cobble Hill"
"113","Brooklyn Institute of Arts and Sciences","200 Eastern Parkway","Brooklyn","NY","11238","(718) 638-5000","Visual Arts","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn",40.671835,-73.963042,177,3029667,3011830026,"park-cemetery-etc-Brooklyn"
"114","Brooklyn Philharmonic Symphony Orchestra, Inc.","20 Jay Street, Suite M16","Brooklyn","NY","11201","(718) 488-7711","Music","Brooklyn Council District #33","Brooklyn Community Board #6","Brooklyn",40.704313,-73.986587,21,3000010,3000190001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"115","Brooklyn Theatre Arts Project, Inc.","1618 76th Street","Brooklyn","NY","11214","(718) 791-9667","Theater","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn",40.615389,-74.000936,182,3160774,3062360011,"Bensonhurst West"
